"cell","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AT1","PGC",4.67427692848719e-07,1.74176920098904,0.39,0.146,0.0123293402542707
"AT1","DENND3",4.85319784822079e-07,-0.608954251063383,0.589,0.792,0.012801279964252
"AT1","NDUFA4",4.95999089716733e-07,0.482697628362914,0.962,0.875,0.0130829679894583
"AT1","MMP24-AS1",5.09149152385725e-07,0.593943290314523,0.581,0.292,0.0134298271924783
"AT1","NDUFV2",5.23956591741288e-07,0.561484439200767,0.674,0.469,0.01382040302036
"AT1","SUSD2",5.31447876196675e-07,0.63246405186231,0.907,0.771,0.0140180006304397
"AT1","RPS3",5.33597599783317e-07,0.533408324940709,0.992,0.979,0.0140747038894845
"AT1","GGT1",5.35975841909237e-07,0.814130351581481,0.706,0.458,0.0141374347820399
"AT1","ATRAID",5.69363094214053e-07,0.54202315111478,0.475,0.219,0.0150180903360841
"AT1","DPM2",5.93042774665799e-07,0.418526485358724,0.311,0.073,0.0156426892673598
"AT1","KRTCAP2",6.54895668391803e-07,0.555449564505822,0.837,0.656,0.0172741830451706
"AT1","SERPINA1",6.65929836640764e-07,-0.688871305965161,0.472,0.667,0.0175652313010734
"AT1","LENG8",7.43797428956642e-07,-0.568328138584354,0.347,0.531,0.0196191447835893
"AT1","RPS24",7.72686797268609e-07,0.397075530996824,0.989,0.99,0.0203811596515541
"AT1","ATP5G2",7.9591193978065e-07,0.470796018270739,0.956,0.865,0.0209937692355942
"AT1","TRAPPC1",8.23437204450215e-07,0.594299580435624,0.701,0.438,0.0217198031417833
"AT1","FOLR1",8.52009469323405e-07,0.656154952680688,0.892,0.708,0.0224734537723434
"AT1","TPPP3",8.8895329364366e-07,-0.490325626583081,0.015,0.146,0.0234479210264388
"AT1","SERPING1",9.03178863993346e-07,0.610382493225689,0.593,0.312,0.0238231488955525
"AT1","SHROOM3",9.07868579450591e-07,-0.573045756385198,0.483,0.594,0.0239468495201682
"AT1","RPL29",9.49706642756145e-07,0.46226577678814,0.992,0.958,0.0250504121159788
"AT1","CSTB",1.02236655526376e-06,0.436192840383451,0.979,0.885,0.0269669626281922
"AT1","NDUFS8",1.09343140457074e-06,0.563223841693653,0.648,0.385,0.0288414401583623
"AT1","MCL1",1.14238440555764e-06,-0.560714954474479,0.608,0.812,0.0301326734653938
"AT1","CFL1",1.1842586364681e-06,0.375776837899386,0.992,0.927,0.031237190054119
"AT1","EEF1A1",1.25071217601287e-06,0.576000979839931,1,1,0.0329900350666916
"AT1","RPL26",1.28279398462418e-06,0.476604409941491,0.992,0.958,0.0338362569324319
"AT1","EGR1",1.29920556366159e-06,-0.896582240319715,0.182,0.406,0.0342691451527018
"AT1","PPIA",1.3135633146222e-06,0.317342112565865,0.996,0.969,0.0346478595497898
"AT1","SEPW1",1.41971618075972e-06,-0.680751080124432,0.915,0.958,0.037447853699899
"AT1","HSP90B1",1.4271289734022e-06,-0.484629521193659,0.712,0.781,0.0376433809314298
"AT1","GABARAP",1.58446946579416e-06,0.470385242302862,0.953,0.875,0.0417935510992525
"AT1","RPL5",1.59441813037269e-06,0.485309825017719,0.981,0.896,0.0420559670248405
"AT1","SUMO2",1.59880214576763e-06,0.468904767614621,0.943,0.865,0.0421716041989127
"AT1","C5orf38",1.62842027156695e-06,0.468932579514788,0.441,0.198,0.0429528415031215
"AT1","AP000769.1",1.68673924357556e-06,-0.710291310524989,0.138,0.312,0.0444911210277926
"AT1","MGST3",1.7132370864133e-06,0.567503931837039,0.894,0.74,0.0451900546283237
"AT1","CLEC3B",1.72175607785611e-06,-0.355627897849965,0.028,0.167,0.0454147600656105
"AT1","RPL24",1.75372287992403e-06,0.454780542642898,0.985,0.958,0.0462579484037562
"AT1","CRIP2",1.77633078983976e-06,-0.655432307302311,0.585,0.729,0.0468542772436033
"AT1","ATP6V0C",1.86994540604722e-06,0.502873205649176,0.886,0.74,0.0493235499753075
"AT1","MT2A",1.93367643257092e-06,-2.01190320430741,0.65,0.75,0.0510045832619231
"AT1","NCOA7",2.00280922844491e-06,-0.703226598942231,0.419,0.646,0.0528280990186915
"AT1","SDPR",2.03726344984453e-06,0.658088671377304,0.72,0.5,0.0537368980165491
"AT1","KHDRBS2",2.04315515841467e-06,-0.594312348912292,0.343,0.604,0.0538923036135037
"AT1","KCNQ1OT1",2.11575247797892e-06,-0.59531766419718,0.127,0.312,0.05580720311165
"AT1","PDLIM4",2.22580572977581e-06,-0.273433002394008,0.013,0.135,0.0587100777342965
"AT1","RPL21",2.27023303519815e-06,0.468402111099262,0.979,0.938,0.0598819367694216
"AT1","RP11-392P7.6",2.47874338201765e-06,-0.389311024106254,0.034,0.167,0.0653818141874794
"AT1","CRIP1",2.51317710082316e-06,-0.755832741134318,0.913,0.969,0.0662900723884126
"AT1","RPS19",2.58046232542928e-06,0.450962739387996,0.994,0.969,0.068064854757848
"AT1","KAZN",2.70242463700241e-06,-0.258459238842967,0.068,0.25,0.0712818546502125
"AT1","NDUFA13",3.31692365226363e-06,0.492587378879635,0.659,0.51,0.0874904951757579
"AT1","NDUFS5",3.37589443862963e-06,0.454297616380546,0.873,0.688,0.0890459676077337
"AT1","EYA4",3.47607421899331e-06,-0.338652329696991,0.023,0.156,0.0916884096743864
"AT1","AC083843.1",4.19406808017362e-06,-0.412719056906902,0.057,0.219,0.11062693375074
"AT1","TALDO1",4.64167916509308e-06,0.592531305821203,0.648,0.469,0.12243357133766
"AT1","NDUFB7",4.71776207953455e-06,0.53036676857002,0.653,0.406,0.124440410371883
"AT1","MBNL1",5.22911143060866e-06,-0.55651903768,0.538,0.646,0.137928272205165
"AT1","CYR61",5.52130024487687e-06,-0.681389724595709,0.65,0.74,0.145635336559117
"AT1","TMC5",5.57950955978744e-06,-0.531771998663519,0.36,0.552,0.147170723658513
"AT1","CYB5A",5.63575746148578e-06,0.482691055156371,0.964,0.885,0.14865437456161
"AT1","RPUSD3",6.27773524446701e-06,0.306390775028176,0.214,0.031,0.165587822543306
"AT1","RPS12",6.3439499517495e-06,0.392721342703254,0.994,1,0.167334367877297
"AT1","EIF3L",6.35243190794639e-06,0.462936313590166,0.417,0.177,0.167558096435902
"AT1","RPS15",6.37692909247952e-06,0.292149759451529,0.992,0.969,0.168204258672332
"AT1","ABI3BP",6.50191173169213e-06,-0.71640780706859,0.301,0.49,0.171500925746843
"AT1","CPNE3",6.63788923980819e-06,0.488141211867278,0.502,0.26,0.175087604478421
"AT1","RPS13",6.91197905630554e-06,0.421086255750096,0.994,0.958,0.182317271568171
"AT1","GTF2I",6.93303018748646e-06,-0.41719922919406,0.559,0.656,0.18287253725533
"AT1","EIF3K",6.95252118718856e-06,0.425231509236614,0.833,0.656,0.183386651354473
"AT1","TACSTD2",7.13147806042357e-06,0.677949637640138,0.896,0.75,0.188106996799793
"AT1","GNB2L1",7.14592369472155e-06,0.507777961654022,0.977,0.938,0.18848802929567
"AT1","PARK7",7.30215227482318e-06,0.45593417440107,0.68,0.427,0.192608870553011
"AT1","CAV1",7.32687819094041e-06,0.520068544855163,0.998,0.969,0.193261066042435
"AT1","GJA1",7.5352334032172e-06,-0.473530384040103,0.436,0.615,0.19875685147666
"AT1","NDUFA12",7.66071181916032e-06,0.456822491151184,0.521,0.26,0.202066595653992
"AT1","TSTD1",8.12153625342518e-06,0.583150069526894,0.699,0.458,0.214221761756596
"AT1","ALDH3A2",8.51920751074665e-06,-0.488079020822745,0.481,0.646,0.224711136510964
"AT1","RPL37A",8.61965573023127e-06,0.477166946837626,0.979,0.958,0.22736065919631
"AT1","RPS28",8.62931169352501e-06,0.327213749352238,0.998,1,0.227615354540109
"AT1","RPL6",8.65761260058552e-06,0.473487374750256,0.981,0.958,0.228361847565644
"AT1","MYL12B",8.95855841260008e-06,0.445395755505692,0.992,0.969,0.236299895249152
"AT1","KRT18",9.44088223724039e-06,-0.560596705628801,0.926,0.854,0.24902215077169
"AT1","PLLP",9.6535408378144e-06,0.581674097279454,0.697,0.521,0.25463144667903
"AT1","MPST",9.74651832087696e-06,0.460930039565501,0.458,0.208,0.257083913749772
"AT1","ATP1A1",1.04153753331711e-05,0.528987848473753,0.881,0.74,0.274726355163055
"AT1","COL4A1",1.07049416005067e-05,-0.603006676190918,0.373,0.552,0.282364244596566
"AT1","RPL22",1.08422861037145e-05,0.369863644568042,0.983,0.917,0.285986980557678
"AT1","ATP5D",1.21054053926675e-05,0.457925606110938,0.82,0.667,0.31930427804239
"AT1","EIF5A",1.2155603023294e-05,0.56135852870585,0.504,0.271,0.320628340945427
"AT1","MRPL14",1.25420574016578e-05,0.510399892688377,0.824,0.635,0.330821848083527
"AT1","FTH1",1.28837682672221e-05,0.35888608917591,0.998,0.99,0.339835155584517
"AT1","CYB5R3",1.35190321549996e-05,0.504062950391985,0.661,0.417,0.356591511152425
"AT1","PGLS",1.3589889945245e-05,0.412649919022054,0.396,0.156,0.358460527085728
"AT1","PPP1R11",1.44029185640431e-05,0.386817625631386,0.273,0.073,0.379905782963764
"AT1","BCAP29",1.51992693756217e-05,0.36784743338414,0.487,0.24,0.400911128320773
"AT1","PLXNA3",1.52300310501489e-05,-0.352822102833146,0.106,0.302,0.401722529009777
"AT1","GABARAPL2",1.55361671073698e-05,0.4884405389777,0.653,0.469,0.409797479791093
"AT1","TMEM14B",1.59056996146995e-05,0.50813549856073,0.481,0.25,0.419544638736929
"AT1","TGFBR2",1.64605148005424e-05,-0.499314409810336,0.648,0.74,0.434178998893907
"AT1","TMEM109",1.75504189961154e-05,0.473858194072947,0.489,0.25,0.462927401860536
"AT1","CST6",1.77641197436551e-05,-0.746118619671127,0.462,0.552,0.46856418647839
"AT1","ERLEC1",1.83574199695391e-05,0.512702066114487,0.498,0.26,0.484213666536532
"AT1","LDLR",1.92412688939101e-05,-0.618909832644494,0.369,0.49,0.507526949614666
"AT1","SFTPD",1.98551800723297e-05,0.787111129023227,0.506,0.344,0.523720084767841
"AT1","EEF1G",2.20946867481126e-05,0.471812211290975,0.773,0.604,0.582791552354966
"AT1","RPS27A",2.30093692161539e-05,0.410581380152046,0.987,0.969,0.606918131814492
"AT1","MPC1",2.39710452863851e-05,0.502347313275215,0.502,0.281,0.632284261518981
"AT1","PNRC1",2.63865411723642e-05,0.507790959257929,0.814,0.667,0.695997796503451
"AT1","WDR83OS",2.71973315998413e-05,0.424785475830406,0.833,0.646,0.717384015609013
"AT1","SDC4",2.7552535061071e-05,-0.548598668158423,0.513,0.635,0.72675321730587
"AT1","PTPN1",2.85408286910777e-05,-0.488996566110561,0.585,0.698,0.752821438384557
"AT1","CITED2",3.06044087947714e-05,0.970742216206417,0.489,0.26,0.807252490779685
"AT1","NCKAP5",3.06273442912555e-05,-0.667930126172691,0.536,0.708,0.807857460370447
"AT1","LAMC2",3.18279859412914e-05,-0.406446548245138,0.354,0.604,0.839526785173443
"AT1","MYL9",3.29739468749188e-05,0.45355161459857,0.919,0.844,0.869753796719732
"AT1","VAMP8",3.3201064835933e-05,0.405085472139719,0.968,0.885,0.875744487177405
"AT1","DBI",3.38741863157524e-05,0.404501204376051,0.784,0.573,0.8934994124506
"AT1","MRPS18B",3.4486110230763e-05,0.421299300052159,0.343,0.135,0.909640129556835
"AT1","CYP2B6",3.49317459486446e-05,0.325338178342546,0.25,0.062,0.921394662887397
"AT1","HEBP1",3.53341080882159e-05,0.487891950958837,0.515,0.323,0.93200776904287
"AT1","CTNNB1",3.54822475040961e-05,-0.448773137138575,0.216,0.406,0.935915242415542
"AT1","NFE2L2",3.72096756937541e-05,-0.469544064446578,0.445,0.521,0.981479615774151
"AT1","NRP2",3.80736913843202e-05,-0.485426827170242,0.153,0.323,1
"AT1","APOL6",3.83294701671332e-05,-0.383410422666569,0.167,0.365,1
"AT1","SLC19A1",3.87279231533421e-05,-0.393258208622916,0.18,0.375,1
"AT1","RPS27",4.10378582766441e-05,0.30053150343978,0.996,1,1
"AT1","BCKDHA",4.19110640249933e-05,0.319599672353199,0.231,0.052,1
"AT1","RPLP2",4.20440302975986e-05,0.319912956320437,0.985,0.958,1
"AT1","CGN",4.22998115854513e-05,-0.434231064512155,0.43,0.51,1
"AT1","C4orf48",4.31659120365386e-05,-0.355166043301445,0.028,0.135,1
"AT1","UBA52",4.32723430532944e-05,0.371485446268869,0.97,0.906,1
"AT1","FN3K",4.42668312207207e-05,0.325171076185183,0.364,0.146,1
"AT1","RPL8",4.52004173095888e-05,0.446505672453997,0.992,0.969,1
"AT1","RPL36",4.81057647601843e-05,0.408276174467973,0.981,0.958,1
"AT1","SCRIB",4.86494500463651e-05,-0.27793661334227,0.081,0.198,1
"AT1","RPS21",4.87323007927857e-05,0.4568944451189,0.987,0.948,1
"AT1","RPL34",4.95357621562603e-05,0.350776145504479,0.992,1,1
"AT1","TIPARP",4.96014251027327e-05,-0.33748155669866,0.155,0.219,1
"AT1","HNRNPA3",5.19680502446319e-05,-0.441756726314106,0.462,0.656,1
"AT1","TMEM147",5.30162278768283e-05,0.419267151948564,0.441,0.229,1
"AT1","MYO1B",5.60830799439559e-05,-0.494661953986253,0.752,0.885,1
"AT1","PLA2G10",5.69433075913654e-05,0.553927611466644,0.436,0.24,1
"AT1","NDUFB11",5.75558155348307e-05,0.422268527526227,0.794,0.604,1
"AT1","ITPA",5.7822439133084e-05,0.328309220340526,0.252,0.083,1
"AT1","SCNN1G",5.83199276343527e-05,-0.450692167146651,0.15,0.312,1
"AT1","EIF1",6.08590605982647e-05,0.389051750079809,0.996,0.99,1
"AT1","WEE1",6.13235352761615e-05,-0.325914229369629,0.059,0.188,1
"AT1","NDUFB10",6.1623181850972e-05,0.436311729211434,0.602,0.365,1
"AT1","UXS1",6.17423982991803e-05,0.413406413699916,0.464,0.229,1
"AT1","AQP4",6.45071166106633e-05,-0.446039360178806,0.788,0.823,1
"AT1","MICALL2",6.7207570464506e-05,-0.271737281388403,0.053,0.198,1
"AT1","TMEM37",6.8731229916118e-05,0.318515537535387,0.178,0.031,1
